TIME,Label,G1G2R,G1P+R,G2P-R,P+P-V,G1P+V,G2P-V,G1P+R/G2P-RThreshold,Result
2026-08-28 16:54:06,PD223108491,1.801,OK,OK,49.2609,0.2035,0.3056,1000000,PASS
2026-08-28 16:54:06,DX0100000000,2.24,OK,OK,49.8951,0.3268,0.3920,1000000,PASS
